,cycle,capacity,voltage_measured,current_measured,current,voltage,temperature_measured
0,1,2.035337591005598,3.6446531156654953,-2.011556180877355,-1.9992,2.749,30.671775641841133
1,2,2.0251402460314116,3.6517363968933774,-2.0107477524986055,-1.999,2.757,30.792296519125294
2,3,2.013326371345464,3.6631890983079627,-2.0084179034338803,-1.999,2.769,30.61171471863547
3,4,2.0132846655407413,3.6536603128951817,-2.0108116377908583,-1.999,2.76,30.69088247960053
4,5,2.000528337624771,3.662540737303764,-2.00997174200827,-1.999,2.769,30.43861879344402
5,6,2.0138990759931645,3.657289773862884,-2.0143442695643983,-1.9992,2.762,30.61192785622745
6,7,2.013101105626967,3.661560714953674,-2.010329632266291,-1.9992,2.767,30.61278194134409
7,8,1.9687898262728398,3.6679008467458387,-2.010547554981696,-1.9992,2.774,30.402715964003477
8,9,1.9681661764334244,3.64626536033422,-2.0106697842564865,-1.999,2.753,30.676120637048268
9,10,1.9572307917560536,3.649063788488299,-2.0094438114222744,-1.999,2.755,30.555075783526423
10,11,1.9455991514129352,3.6651460205742934,-2.0117806924842414,-1.999,2.771,30.171267410169886
11,12,1.9347505044841131,3.6713300783823173,-2.0104733930782652,-1.999,2.776,30.324925029531055
12,13,1.9232799539368028,3.6518197320012877,-2.012477942263733,-1.999,2.758,30.60872010233955
13,14,1.911889930948487,3.6474975825533784,-2.0114683790570598,-1.999,2.754,30.52268130451077
14,15,1.9010667141979305,3.651659365249652,-2.0107506648433096,-1.999,2.759,30.294600750391503
15,16,1.8891989948061458,3.66307904572049,-2.010918267321093,-1.999,2.769,29.95149862313399
16,17,1.878278372248849,3.666523404470755,-2.0106963452979123,-1.999,2.772,29.943979229950266
17,18,1.8675697161520206,3.6450437759049574,-2.0099817810655307,-1.999,2.751,30.286056482377436
18,19,1.8675892574453767,3.626280686993738,-2.0143873789473026,-1.999,2.733,30.61925714287943
19,20,1.979626548250818,3.649721350451585,-2.0113510436788444,-1.999,2.753,30.215661057800236
20,21,1.9575499080884022,3.673136550222487,-2.012137282422975,-1.999,2.777,30.200442512125075
21,22,1.9458150170787551,3.652576681211109,-2.013899759897343,-1.9988,2.757,30.12398096164508
22,23,1.9242461121680094,3.666513790536474,-2.011868489113878,-1.999,2.77,29.549752379804545
